MSCI RUSSIA VALUE,MSCI USA,MSCI JAPAN,MSCI UNITED KINGDOM,MSCI CHINA,MSCI FRANCE,MSCI CANADA,MSCI SWITZERLAND,MSCI GERMANY,MSCI AUSTRALIA,MSCI INDIA,MSCI TAIWAN,MSCI KOREA,MSCI NETHERLANDS,MSCI SWEDEN,MSCI DENMARK,MSCI HONG KONG,MSCI BRAZIL,MSCI ITALY,MSCI SPAIN,MSCI FINLAND,MSCI SOUTH AFRICA,MSCI SINGAPORE,MSCI MEXICO,MSCI ISRAEL,MSCI INDONESIA,MSCI THAILAND,MSCI MALAYSIA,MSCI BELGIUM,MSCI UNITED ARAB EMIRATES,MSCI NEW ZEALAND,MSCI PHILIPPINES,MSCI QATAR,MSCI CHILE,MSCI PORTUGAL,MSCI POLAND,MSCI IRELAND,MSCI Greece Rebased Index,MSCI KUWAIT,MSCI TURKEY,MSCI AUSTRIA,MSCI HUNGARY,MSCI EGYPT,MSCI COLOMBIA
,107.83574273107308,104.14883432847296,102.3299679179514,,106.40057450015856,111.96532220665584,100.97505618753058,105.1100242527152,109.62628189215684,,,,95.63468832485526,109.5070137991888,99.74562053306586,96.51729500557934,,97.98814598209964,101.64331128087096,114.09931366258613,,103.84430025193062,,,,,,100.112294884139,,113.6296209026158,,,,107.50343682163304,,105.1391435209702,118486.96717728573,,,97.21692614517274,,,
,108.41079498372596,105.38021166727222,108.21295098743803,,102.86116453368132,109.22601064598662,101.05923325348884,99.76206594488282,110.53244954900856,,,,98.25702828752767,110.55368519635488,94.30111564361452,100.84416065379256,,99.88598397844126,103.14216686553654,111.3451174358239,,106.12080824656708,,,,,,98.88512355275104,,117.6922374242132,,,,103.67034961505274,,108.53491403277734,120992.97752979831,,,106.15206392541442,,,
,114.78364476232564,122.01440319020146,113.46329831476947,,106.5279727738492,115.63468636294108,101.61081207530847,98.68962574568762,117.1097128809074,,,,100.93996091672484,114.62580073095371,94.24251744013856,115.99221818491029,,105.49232213786505,100.99288279078776,128.32992842822742,,119.90075125753718,,,,,,94.82681141601086,,116.94921967395275,,,,98.2998462044234,,108.49123114039136,118772.65700640997,,,107.61520772028896,,,
,121.3354276440822,129.70908138672382,120.26549759461344,,111.55717388315676,129.9990974719888,103.41518514467391,107.24769509697722,131.74081722825338,,,,109.57327236740451,123.59842309835456,103.15094823628264,144.76531909405276,,104.41486760990315,103.54517785700544,130.04487438696293,,151.43797838852737,,,,,,93.63941291630236,,138.22663452722867,,,,94.09021718432705,,113.76187166940436,127793.88006399712,,,114.49114190399015,,,
,120.19256844882938,124.1716626061294,115.25131235251708,,110.54050602772698,128.24893401213683,99.60867171722604,102.1849019593718,122.66021977046242,,,,104.7999705862459,122.70748231557376,101.72648518989588,135.09952555733304,,100.24002004713066,104.66966316210296,124.85037390307065,,155.9414391098367,,,,,,89.71560756945127,,116.86716432297273,,,,97.50103467807966,,102.1521909872184,135399.44223455823,,,101.6199838394752,,,
,128.04653278142507,137.45439457214488,116.85380781210944,,115.14921064635368,135.0907298981738,99.0764929385336,109.07647205954866,130.20671278304397,,,,106.28930350325486,136.02999123439002,104.01684646304447,149.68670113871434,,99.04161277711908,106.36818583164884,146.36955433886135,,182.62480692790663,,,,,,91.7948986474418,,122.03901040226243,,,,93.30294094882927,,100.94024495044336,136228.0731711179,,,107.35054317566237,,,
,119.3464689990043,145.66911467774992,114.30274719844326,,111.54768433210728,131.1045026467443,99.2272297514394,103.41946036845025,125.3622426358948,,,,105.71394235839448,136.34966287664346,107.2494522096846,139.59191798150633,,92.35867665064586,98.00500132478084,143.36039129922338,,178.39388237680464,,,,,,89.39944975935025,,122.2659299343027,,,,92.03915197767134,,101.27358473037968,142033.81773090563,,,104.03441082042092,,,
,120.12835935421283,146.56896331304117,115.36945334551028,,117.13527123332634,130.68795095566003,100.42495513165572,106.60573225225993,119.86741558138016,,,,109.60333572408528,137.5232957227447,109.00570892251618,142.73820817998512,,95.64966588086038,101.77349212033738,140.18491574312972,,180.18962871832096,,,,,,95.16452883787802,,119.12694440632548,,,,90.70670169074226,,101.01508604286252,166404.87987496084,,,105.56521556489248,,,
,115.57500419158136,154.1924873845121,112.5803366587137,,117.37397794042678,133.36044337314306,99.3669562989481,104.31078521090816,119.35920684565532,,,,104.76368227115994,135.52229165328225,111.40340972997798,135.9131298508426,,96.79764508232886,99.49891874514626,147.21076497232656,,175.76445747508632,,,,,,91.5306513333485,,109.62803457912388,,,,88.47501223768141,,95.97670231401564,175938.7487531465,,,99.18088407243776,,,
,124.72730514490038,162.92923163312724,117.40275029089452,,125.4826775391452,144.20879818357062,102.514162985449,111.41188499823984,118.12479609550168,,,,109.80390365844382,153.07191788925334,114.34186740652052,144.92345879481658,,95.05129519702872,101.9836055726478,178.7637492897684,,187.369752348072,,,,,,92.33629711518034,,113.05490228012762,,,,91.38101666231196,,94.74376465798854,168943.56817729186,,,99.2657764211982,,,
,132.9512670262246,177.3656315856954,124.0630237205696,,135.3102088186475,156.59359451547775,106.18680353321189,119.5264458878875,129.8388949680968,,,,113.89125022403232,176.93074629137467,123.44603280993708,170.9184480272056,,101.57607727417604,115.6227027142942,225.76754622189125,,207.59015867593,,,,,,93.5616942697012,,121.28223074640614,,,,96.30999143647745,,100.11513044720412,178498.70436383365,,,98.97883323725402,,,
,142.8315259963035,189.22826374114376,131.73511173627332,,151.43642911047087,180.1034929558137,108.92658715390192,140.63163217347926,137.78577567848606,,,,125.21499529828372,210.5686463703582,131.28217139854,186.88115258384963,,116.84122325289113,122.8135207525119,295.9158341496854,,233.5962954120005,,,,,,100.44519818106386,,132.26015678890772,,,,106.74759118423331,,102.3499298559836,175539.204417018,,,106.47312377038811,,,
,138.4597100702333,185.47353760354392,122.60633198534693,,144.88651819203525,185.085283465952,99.33661668539185,139.07069796137336,136.08003250118082,,,,112.97274127192232,217.31274987337585,127.26271321910268,176.92178691188346,,113.56118573883003,116.04876212916372,303.3820089630194,,207.4858708242983,,,,,,83.69656519134654,,119.13301918418844,,,,108.20513726770574,,99.06281792425143,160646.5143775459,,,99.51785723064374,,,
,137.3199317689399,183.59246075590087,120.6590941357544,,160.43342110114529,199.30363544469944,98.69933177615664,156.08555464264143,135.02681251623002,,,,122.13136098682511,271.3608226368699,134.05307136780672,190.3568764869732,,129.51505788313983,129.7092618763081,334.7029693386449,,191.8937460356511,,,,,,81.40833291377554,,115.83228500990025,,,,122.63201353968864,,98.05854344052604,167328.60228032558,,,96.42549491253132,,,
